uuid,timestamp_utc,endpoint_name,request_url,http_status,model_field,response_json_path,headers_path,sha256,elapsed_ms,notes
verify_headers_20250924T014446Z_20345,20250924T014446Z,verify_headers,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/verify_headers_20250924T014446Z_20345.post,/Users/vaquez/sonoma_investigation/raw/verify_headers_20250924T014446Z_20345_headers.txt,/Users/vaquez/sonoma_investigation/raw/verify_headers_20250924T014446Z_20345_body.json,54d4174b3c3190351833b4293c8567ae2c39018a5e7d3ecbd7c6d6a8fe35b6a6,00-8b89947330bb6c5002bd81bbc65d348a-701f26880017c982-01,"ok"
glyph_V1_20250924T014447Z_1_20250924T014447Z_17302,20250924T014447Z,glyph_V1_20250924T014447Z_1,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/glyph_V1_20250924T014447Z_1_20250924T014447Z_17302.post,/Users/vaquez/sonoma_investigation/raw/glyph_V1_20250924T014447Z_1_20250924T014447Z_17302_headers.txt,/Users/vaquez/sonoma_investigation/raw/glyph_V1_20250924T014447Z_1_20250924T014447Z_17302_body.json,760d36922b6b917f497738d58129dae7e619d4e8f3b2bd5ab135e53eeb348ace,00-18e3d832fbe40dccccd757642f2a39e5-ca7f2bae0017bf54-01,"ok"
glyph_V2_20250924T014447Z_1_20250924T014448Z_28684,20250924T014448Z,glyph_V2_20250924T014447Z_1,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/glyph_V2_20250924T014447Z_1_20250924T014448Z_28684.post,/Users/vaquez/sonoma_investigation/raw/glyph_V2_20250924T014447Z_1_20250924T014448Z_28684_headers.txt,/Users/vaquez/sonoma_investigation/raw/glyph_V2_20250924T014447Z_1_20250924T014448Z_28684_body.json,4d1771bba2923ec15166ea0350d3552c0419190619ebf42aacfd1c43957b9b45,00-80fce7491f78101992d9244610c4d199-0a5866ee0017a5e0-01,"ok"
glyph_V3_20250924T014447Z_1_20250924T014449Z_8965,20250924T014449Z,glyph_V3_20250924T014447Z_1,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/glyph_V3_20250924T014447Z_1_20250924T014449Z_8965.post,/Users/vaquez/sonoma_investigation/raw/glyph_V3_20250924T014447Z_1_20250924T014449Z_8965_headers.txt,/Users/vaquez/sonoma_investigation/raw/glyph_V3_20250924T014447Z_1_20250924T014449Z_8965_body.json,1b7da75179eb5d088e1de59e6bac3e37d94bab474485b1e39c0c1de730bfa60a,00-609c5abb610055f40902ea715da3b64b-7de25604001818c7-01,"ok"
glyph_V1_20250924T014451Z_2_20250924T014451Z_32301,20250924T014451Z,glyph_V1_20250924T014451Z_2,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/glyph_V1_20250924T014451Z_2_20250924T014451Z_32301.post,/Users/vaquez/sonoma_investigation/raw/glyph_V1_20250924T014451Z_2_20250924T014451Z_32301_headers.txt,/Users/vaquez/sonoma_investigation/raw/glyph_V1_20250924T014451Z_2_20250924T014451Z_32301_body.json,0c976dcf10c98566f97ef4332e17ba3c3ce8d116187cc8d7ed3a86dffc577b99,00-339e422f84a87c41093f708f3dfd7ada-665d778300177bb4-01,"ok"
glyph_V2_20250924T014451Z_2_20250924T014452Z_31276,20250924T014452Z,glyph_V2_20250924T014451Z_2,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/glyph_V2_20250924T014451Z_2_20250924T014452Z_31276.post,/Users/vaquez/sonoma_investigation/raw/glyph_V2_20250924T014451Z_2_20250924T014452Z_31276_headers.txt,/Users/vaquez/sonoma_investigation/raw/glyph_V2_20250924T014451Z_2_20250924T014452Z_31276_body.json,7c99e4e5a0cd01d633962f5ff461f278b05fe0cfda96cbc724d638a547ddb856,00-bbc12269b2adfa5f28b9c8d6964570e3-2a7531f8001abc5d-01,"ok"
glyph_V3_20250924T014451Z_2_20250924T014453Z_383,20250924T014453Z,glyph_V3_20250924T014451Z_2,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/glyph_V3_20250924T014451Z_2_20250924T014453Z_383.post,/Users/vaquez/sonoma_investigation/raw/glyph_V3_20250924T014451Z_2_20250924T014453Z_383_headers.txt,/Users/vaquez/sonoma_investigation/raw/glyph_V3_20250924T014451Z_2_20250924T014453Z_383_body.json,af37ad4d54e81a6a347726261a63fb66c2b024c02e69d5e57cebaee177833b2d,00-8ac62731d5ca5217a023855e48d5caa8-26d05f3d00178635-01,"ok"
glyph_V1_20250924T014455Z_3_20250924T014455Z_22247,20250924T014455Z,glyph_V1_20250924T014455Z_3,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/glyph_V1_20250924T014455Z_3_20250924T014455Z_22247.post,/Users/vaquez/sonoma_investigation/raw/glyph_V1_20250924T014455Z_3_20250924T014455Z_22247_headers.txt,/Users/vaquez/sonoma_investigation/raw/glyph_V1_20250924T014455Z_3_20250924T014455Z_22247_body.json,f1e124ad15b7ab51587f14f1fc1bdf64d30c7c392e0418e3825cd59a9b3213d3,00-36e009c821983b652f6a7427d4fb4818-e68b19db001799ba-01,"ok"
glyph_V2_20250924T014455Z_3_20250924T014456Z_22802,20250924T014456Z,glyph_V2_20250924T014455Z_3,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/glyph_V2_20250924T014455Z_3_20250924T014456Z_22802.post,/Users/vaquez/sonoma_investigation/raw/glyph_V2_20250924T014455Z_3_20250924T014456Z_22802_headers.txt,/Users/vaquez/sonoma_investigation/raw/glyph_V2_20250924T014455Z_3_20250924T014456Z_22802_body.json,59a3b18a7a69236c832e9c046f608bc29c06911c0302956f70658099b169ce17,00-3648de6990527239191dc7d4cc994b8c-4bd9f25100181db4-01,"ok"
glyph_V3_20250924T014455Z_3_20250924T014457Z_7939,20250924T014457Z,glyph_V3_20250924T014455Z_3,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/glyph_V3_20250924T014455Z_3_20250924T014457Z_7939.post,/Users/vaquez/sonoma_investigation/raw/glyph_V3_20250924T014455Z_3_20250924T014457Z_7939_headers.txt,/Users/vaquez/sonoma_investigation/raw/glyph_V3_20250924T014455Z_3_20250924T014457Z_7939_body.json,80aaf04515c52363242de182a4b3a083555e186e167d1023a01d4ec8c26000c3,00-951794d1db25d135213f34e2c4bdb42c-433d28b90017beb4-01,"ok"
